[2023/04/08 02:43:04:250] kevodanh đã giao dịch với admin và nhận được Item: 873. Số lượng: 1
[2023/04/08 05:37:30:088] kevodanh đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 05:37:31:027] kevodanh đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 05:37:31:973] kevodanh đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 05:37:33:223] kevodanh đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 05:43:27:205] kevodanh đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 05:43:28:313] kevodanh đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 05:43:29:321] kevodanh đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 05:43:30:397] kevodanh đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 05:45:55:033] kevodanh đã mua 400 item 340 với giá 0 xu 0 yên 4000 lượng
[2023/04/08 06:13:45:503] kevodanh đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 06:13:47:105] kevodanh đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 06:13:48:213] kevodanh đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 06:15:01:235] kevodanh đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 06:15:02:509] kevodanh đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 06:15:04:784] kevodanh đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 06:16:05:451] kevodanh đã mua 1 item 285 với giá 0 xu 0 yên 150 lượng
[2023/04/08 06:16:06:464] kevodanh đã mua 1 item 285 với giá 0 xu 0 yên 150 lượng
[2023/04/08 06:16:07:507] kevodanh đã mua 1 item 285 với giá 0 xu 0 yên 150 lượng
[2023/04/08 06:16:30:961] kevodanh đã mua 1 item 285 với giá 0 xu 0 yên 150 lượng
[2023/04/08 06:16:32:151] kevodanh đã mua 1 item 285 với giá 0 xu 0 yên 150 lượng
[2023/04/08 06:16:33:107] kevodanh đã mua 1 item 285 với giá 0 xu 0 yên 150 lượng
[2023/04/08 06:17:20:122] kevodanh đã mua 1 item 475 với giá 0 xu 0 yên 350 lượng
[2023/04/08 06:17:21:222] kevodanh đã mua 1 item 475 với giá 0 xu 0 yên 350 lượng
[2023/04/08 06:18:01:547] kevodanh đã mua 1 item 538 với giá 0 xu 0 yên 400 lượng
[2023/04/08 07:15:40:105] yasuo đã mua 1 item 896 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 07:15:42:085] yasuo đã mua 1 item 796 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 07:15:43:165] yasuo đã mua 1 item 799 với giá 0 xu 0 yên 1000 lượng
[2023/04/08 07:16:27:505] yasuo đã mua 3 item 23 với giá 0 xu 600 yên 0 lượng
[2023/04/08 07:18:34:587] yasuo đã mua 1 item 24 với giá 0 xu 450 yên 0 lượng
[2023/04/08 07:20:01:989] yasuo đã mua 1 item 37 với giá 0 xu 0 yên 50 lượng
[2023/04/08 07:21:32:225] yasuo đã mua 1 item 248 với giá 0 xu 0 yên 50 lượng
[2023/04/08 07:24:11:642] yasuo đã mua 1 item 68 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:24:12:890] yasuo đã mua 1 item 69 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:24:13:982] yasuo đã mua 1 item 70 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:24:15:889] yasuo đã mua 1 item 71 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:24:17:712] yasuo đã mua 1 item 72 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:24:18:913] yasuo đã mua 1 item 73 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:24:19:822] yasuo đã mua 1 item 74 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:24:20:801] yasuo đã mua 1 item 75 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:24:47:943] yasuo đã mua 1 item 246 với giá 0 xu 0 yên 50 lượng
[2023/04/08 07:24:50:953] yasuo đã mua 1 item 215 với giá 0 xu 0 yên 10 lượng
[2023/04/08 07:24:52:043] yasuo đã mua 1 item 229 với giá 0 xu 0 yên 10 lượng
[2023/04/08 07:25:07:937] yasuo đã mua 1 item 25 với giá 0 xu 800 yên 0 lượng
[2023/04/08 07:25:09:223] yasuo đã mua 1 item 26 với giá 0 xu 1500 yên 0 lượng
[2023/04/08 07:25:10:273] yasuo đã mua 1 item 27 với giá 0 xu 2500 yên 0 lượng
[2023/04/08 07:47:46:049] yasuuo đã mua 1 item 796 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 07:47:47:519] yasuuo đã mua 1 item 799 với giá 0 xu 0 yên 1000 lượng
[2023/04/08 07:47:48:759] yasuuo đã mua 1 item 896 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 07:48:03:527] yasuuo đã mua 3 item 23 với giá 0 xu 600 yên 0 lượng
[2023/04/08 07:50:10:942] bekiemskt đã mua 3 item 23 với giá 0 xu 600 yên 0 lượng
[2023/04/08 07:50:15:926] yasuuo đã mua 1 item 24 với giá 0 xu 450 yên 0 lượng
[2023/04/08 07:50:45:642] bekiemskt đã mua 1 item 248 với giá 0 xu 0 yên 50 lượng
[2023/04/08 07:50:58:298] bekiemskt đã mua 1 item 800 với giá 0 xu 0 yên 1000 lượng
[2023/04/08 07:51:05:599] bekiemskt đã mua 1 item 795 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 07:51:34:805] yasuuo đã mua 1 item 215 với giá 0 xu 0 yên 10 lượng
[2023/04/08 07:51:35:878] yasuuo đã mua 1 item 229 với giá 0 xu 0 yên 10 lượng
[2023/04/08 07:51:37:247] yasuuo đã mua 1 item 248 với giá 0 xu 0 yên 50 lượng
[2023/04/08 07:53:58:577] yasuuo đã mua 1 item 59 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:53:59:507] yasuuo đã mua 1 item 60 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:54:00:437] yasuuo đã mua 1 item 61 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:54:01:257] yasuuo đã mua 1 item 62 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:54:02:186] yasuuo đã mua 1 item 63 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:54:03:107] yasuuo đã mua 1 item 64 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:54:03:926] yasuuo đã mua 1 item 65 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:54:04:695] yasuuo đã mua 1 item 66 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 07:54:08:227] bekiemskt đã mua 1 item 895 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 07:54:15:507] yasuuo đã mua 1 item 249 với giá 0 xu 0 yên 30 lượng
[2023/04/08 07:54:25:737] yasuuo đã mua 1 item 273 với giá 0 xu 0 yên 15 lượng
[2023/04/08 07:54:39:846] yasuuo đã mua 1 item 25 với giá 0 xu 800 yên 0 lượng
[2023/04/08 07:54:43:865] bekiemskt đã mua 1 item 23 với giá 0 xu 200 yên 0 lượng
[2023/04/08 07:56:48:812] bekiemskt đã mua 1 item 24 với giá 0 xu 450 yên 0 lượng
[2023/04/08 07:57:57:190] bekiemskt đã mua 1 item 354 với giá 0 xu 0 yên 30 lượng
[2023/04/08 08:13:03:971] bekiemskt đã mua 1 item 800 với giá 0 xu 0 yên 1000 lượng
[2023/04/08 08:13:14:218] bekiemskt đã mua 1 item 41 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 08:13:16:691] bekiemskt đã mua 1 item 42 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 08:13:19:564] bekiemskt đã mua 1 item 44 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 08:13:22:877] bekiemskt đã mua 1 item 45 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 08:13:25:066] bekiemskt đã mua 1 item 46 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 08:28:06:484] cohangxom đã mua 1 item 23 với giá 0 xu 200 yên 0 lượng
[2023/04/08 08:30:20:040] bekiemskt đã mua 1 item 352 với giá 0 xu 0 yên 30 lượng
[2023/04/08 08:30:50:395] bekiemskt đã mua 200 item 340 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 08:33:34:143] bekiemskt đã mua 1 item 215 với giá 0 xu 0 yên 10 lượng
[2023/04/08 08:33:36:113] bekiemskt đã mua 1 item 229 với giá 0 xu 0 yên 10 lượng
[2023/04/08 08:45:28:222] bekiemskt đã mua 1 item 26 với giá 0 xu 1500 yên 0 lượng
[2023/04/08 08:45:30:384] bekiemskt đã mua 1 item 26 với giá 0 xu 1500 yên 0 lượng
[2023/04/08 08:46:20:084] bekiemskt đã mua 1 item 96 với giá 45000 xu 0 yên 0 lượng
[2023/04/08 08:52:07:543] cohangxom đã mua 1 item 23 với giá 0 xu 200 yên 0 lượng
[2023/04/08 08:57:44:524] bekiemskt đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 08:57:45:825] bekiemskt đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 08:57:46:999] bekiemskt đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 08:57:48:184] bekiemskt đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 08:57:49:481] bekiemskt đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 08:57:50:530] bekiemskt đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 08:57:51:639] bekiemskt đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 08:57:52:792] bekiemskt đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 08:57:53:841] bekiemskt đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 08:57:55:070] bekiemskt đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 09:34:20:929] bekiemskt đã mua 1 item 35 với giá 0 xu 1000 yên 0 lượng
[2023/04/08 09:36:54:117] bekiemskt đã mua 1 item 246 với giá 0 xu 0 yên 50 lượng
[2023/04/08 09:36:57:334] bekiemskt đã mua 1 item 248 với giá 0 xu 0 yên 50 lượng
[2023/04/08 09:42:55:065] sonpk001 đã mua 1 item 796 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 09:42:57:124] sonpk001 đã mua 1 item 896 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 09:43:00:105] sonpk001 đã mua 1 item 799 với giá 0 xu 0 yên 1000 lượng
[2023/04/08 09:43:47:895] sonpk001 đã mua 1 item 23 với giá 200 xu 0 yên 0 lượng
[2023/04/08 09:43:49:225] sonpk001 đã mua 1 item 23 với giá 200 xu 0 yên 0 lượng
[2023/04/08 09:50:10:434] sonpk001 đã mua 1 item 248 với giá 0 xu 0 yên 50 lượng
[2023/04/08 10:03:33:861] melody đã mua 3 item 23 với giá 0 xu 600 yên 0 lượng
[2023/04/08 10:03:48:332] melody đã mua 1 item 248 với giá 0 xu 0 yên 50 lượng
[2023/04/08 10:03:51:210] melody đã mua 1 item 215 với giá 0 xu 0 yên 10 lượng
[2023/04/08 10:03:52:192] melody đã mua 1 item 229 với giá 0 xu 0 yên 10 lượng
[2023/04/08 10:04:03:497] melody đã mua 1 item 896 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 10:05:09:778] bekiemskt đã mua 1 item 35 với giá 0 xu 1000 yên 0 lượng
[2023/04/08 10:06:44:662] melody đã mua 1 item 24 với giá 0 xu 450 yên 0 lượng
[2023/04/08 10:07:09:702] bekiemskt đã mua 300 item 340 với giá 0 xu 0 yên 3000 lượng
[2023/04/08 10:12:25:572] bekiemskt đã mua 1 item 269 với giá 0 xu 0 yên 30 lượng
[2023/04/08 10:27:53:797] bekiemskt đã mua 1 item 284 với giá 0 xu 0 yên 45 lượng
[2023/04/08 10:27:59:857] bekiemskt đã mua 5 item 284 với giá 0 xu 0 yên 225 lượng
[2023/04/08 10:30:04:073] bekiemskt đã mua 1 item 35 với giá 0 xu 1000 yên 0 lượng
[2023/04/08 10:31:34:424] 1banvelang đã mua 3 item 23 với giá 0 xu 600 yên 0 lượng
[2023/04/08 10:31:57:805] 1banvelang đã mua 1 item 896 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 10:32:00:268] 1banvelang đã mua 1 item 796 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 10:32:03:998] 1banvelang đã mua 1 item 799 với giá 0 xu 0 yên 1000 lượng
[2023/04/08 10:32:23:391] 1banvelang đã mua 1 item 248 với giá 0 xu 0 yên 50 lượng
[2023/04/08 10:34:46:639] 1banvelang đã mua 1 item 24 với giá 0 xu 450 yên 0 lượng
[2023/04/08 10:37:57:808] bekiemskt đã mua 1 item 35 với giá 0 xu 1000 yên 0 lượng
