[2023/04/16 12:01:42:288] hieudz đã mua 55 item 340 với giá 0 xu 0 yên 550 lượng
[2023/04/16 12:27:07:902] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:27:07:903] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:27:07:903] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:27:07:904] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:27:07:904] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:27:07:904] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:27:07:905] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:27:07:905] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:27:07:905] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:27:07:905] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:27:07:906] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:27:23:657] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:27:23:658] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:27:23:658] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:27:23:658] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:27:23:658] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:27:23:659] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:27:23:659] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:27:23:659] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:27:23:659] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:27:23:659] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:27:23:659] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:27:23:659] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:27:43:455] traingheo đã mua 20 item 242 với giá 0 xu 0 yên 200 lượng
[2023/04/16 12:27:49:035] traingheo đã mua 15 item 284 với giá 0 xu 0 yên 675 lượng
[2023/04/16 12:28:48:369] orange đã mua 1 item 269 với giá 0 xu 0 yên 30 lượng
[2023/04/16 12:29:09:481] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:29:09:482] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:29:09:482] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:29:09:482] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:29:09:482] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:29:09:483] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:29:09:483] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:29:09:483] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:29:09:483] thaitrumdz đã giao dịch với admin và nhận được Item: 454. Số lượng: 1
[2023/04/16 12:29:31:521] thaitrumdz đã mua 1 item 271 với giá 0 xu 0 yên 500 lượng
[2023/04/16 12:35:16:335] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:35:16:336] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:35:16:337] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:35:16:337] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:35:16:337] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:36:35:484] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:36:35:484] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:36:35:485] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:36:35:485] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:36:35:485] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:36:35:485] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:36:35:485] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:36:35:486] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:36:35:486] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:36:35:486] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:36:35:486] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:36:35:486] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:00:314] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:37:00:315] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:37:00:315] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:37:00:316] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:37:00:316] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:37:00:316] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:37:00:317] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:37:00:317] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:37:00:317] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:37:00:317] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:37:23:858] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:23:858] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:23:858] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:23:859] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:23:859] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:23:859] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:23:859] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:23:860] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:23:860] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:23:860] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:23:860] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:23:860] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:37:41:501] orange đã mua 1 item 320 với giá 96000 xu 0 yên 0 lượng
[2023/04/16 12:38:12:398] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:38:12:398] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:38:12:398] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:38:12:398] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:38:12:399] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:38:12:399] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:38:12:399] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:38:12:399] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:38:12:399] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:38:12:399] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:38:12:399] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:38:12:400] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:38:45:701] orange đã mua 5 item 242 với giá 0 xu 0 yên 50 lượng
[2023/04/16 12:38:48:801] orange đã mua 10 item 284 với giá 0 xu 0 yên 450 lượng
[2023/04/16 12:42:03:848] orange đã mua 10 item 284 với giá 0 xu 0 yên 450 lượng
[2023/04/16 12:45:21:694] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:45:21:695] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:45:21:695] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:45:21:696] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:45:21:696] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:45:21:696] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:45:21:696] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:45:21:697] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:45:21:697] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:45:21:697] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:45:21:697] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:45:21:697] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:46:08:244] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:46:08:244] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:46:08:244] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:46:08:245] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:46:08:245] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:46:08:245] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:46:08:245] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:46:08:245] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:46:08:245] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:46:08:246] traingheo đã giao dịch với buffet và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:46:08:246] traingheo đã giao dịch với buffet và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:46:08:246] traingheo đã giao dịch với buffet và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:49:37:475] ftfcctg đã mua 3 item 23 với giá 0 xu 600 yên 0 lượng
[2023/04/16 12:50:16:907] ftfcctg đã mua 1 item 215 với giá 0 xu 0 yên 10 lượng
[2023/04/16 12:50:18:327] ftfcctg đã mua 1 item 229 với giá 0 xu 0 yên 10 lượng
[2023/04/16 12:50:21:247] ftfcctg đã mua 1 item 796 với giá 0 xu 0 yên 2000 lượng
[2023/04/16 12:50:23:058] ftfcctg đã mua 1 item 896 với giá 0 xu 0 yên 2000 lượng
[2023/04/16 12:50:24:797] ftfcctg đã mua 1 item 799 với giá 0 xu 0 yên 1000 lượng
[2023/04/16 12:50:37:647] ftfcctg đã mua 1 item 795 với giá 0 xu 0 yên 2000 lượng
[2023/04/16 12:50:39:127] ftfcctg đã mua 1 item 800 với giá 0 xu 0 yên 1000 lượng
[2023/04/16 12:50:40:915] ftfcctg đã mua 1 item 895 với giá 0 xu 0 yên 2000 lượng
[2023/04/16 12:56:52:230] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:56:52:230] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:56:52:231] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:56:52:231] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:56:52:232] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:56:52:232] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:56:52:232] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:56:52:233] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:56:52:233] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:56:52:233] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:56:52:233] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:56:52:233] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:57:40:999] traingheo đã giao dịch với ghuggt và nhận được Item: 257. Số lượng: 98
[2023/04/16 12:57:41:000] traingheo đã giao dịch với ghuggt và nhận được Item: 276. Số lượng: 23
[2023/04/16 12:57:41:000] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:57:41:001] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:57:41:001] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:57:41:001] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:57:41:001] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:57:41:002] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:57:41:002] traingheo đã giao dịch với ghuggt và nhận được Item: 275. Số lượng: 11
[2023/04/16 12:57:41:002] traingheo đã giao dịch với ghuggt và nhận được Item: 277. Số lượng: 18
[2023/04/16 12:57:41:002] traingheo đã giao dịch với ghuggt và nhận được Item: 278. Số lượng: 14
[2023/04/16 01:00:16:389] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 01:00:16:389] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 01:00:16:390] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 01:00:16:390] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 01:00:16:390] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 01:00:16:390] traingheo đã giao dịch với ghuggt và nhận được Item: 283. Số lượng: 1
[2023/04/16 01:00:16:390] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 01:00:16:391] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 01:00:16:391] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 01:00:16:391] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 01:00:16:391] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 01:00:16:392] traingheo đã giao dịch với ghuggt và nhận được Item: 277. Số lượng: 3
[2023/04/16 01:01:33:002] gaingheopk đã mua 1 item 545 với giá 0 xu 0 yên 500 lượng
[2023/04/16 01:02:47:542] ftfcctg đã giao dịch với traingheo và nhận được Item: 283. Số lượng: 1
[2023/04/16 01:04:10:019] traingheo đã giao dịch với gaingheopk và nhận được Item: 706. Số lượng: 2783
[2023/04/16 01:04:10:020] traingheo đã giao dịch với gaingheopk và nhận được Item: 340. Số lượng: 134
[2023/04/16 01:05:19:704] gaingheopk đã mua 1 item 490 với giá 0 xu 0 yên 6000 lượng
[2023/04/16 01:06:31:064] ftfcctg đã mua 4000 item 340 với giá 0 xu 0 yên 40000 lượng
[2023/04/16 01:15:21:162] traingheo đã mua 1 item 49 với giá 1000 xu 0 yên 0 lượng
[2023/04/16 01:15:22:680] traingheo đã mua 1 item 50 với giá 1000 xu 0 yên 0 lượng
[2023/04/16 01:15:24:429] traingheo đã mua 1 item 51 với giá 1000 xu 0 yên 0 lượng
[2023/04/16 01:15:26:802] traingheo đã mua 1 item 52 với giá 1000 xu 0 yên 0 lượng
[2023/04/16 01:15:29:162] traingheo đã mua 1 item 53 với giá 1000 xu 0 yên 0 lượng
[2023/04/16 01:15:30:851] traingheo đã mua 1 item 55 với giá 1000 xu 0 yên 0 lượng
[2023/04/16 01:17:31:161] traingheo đã mua 1 item 241 với giá 0 xu 0 yên 100 lượng
[2023/04/16 01:17:33:861] traingheo đã mua 1 item 240 với giá 0 xu 0 yên 100 lượng
[2023/04/16 01:21:31:940] traingheo đã mua 1 item 117 với giá 135000 xu 0 yên 0 lượng
